e1,e2,label,group_id,platform
Philips飛利浦 Pd10000Mahled顯示行動電源 Dlp1813/96,【Kinyo】迷你立臥兩用電暖器(保暖必備 Eh80),0,10465641,import
【BOSE】SoundLink Micro IP67 防水防塵 可掛提帶迷你可攜式藍牙揚聲器 黑色,SoundLink Micro IP67 防水防塵 可掛提帶迷你可攜式藍牙揚聲器 霧白色,0,DGCT1A-A900G1H3O,momo
【C20 Mio滑軌式 後視鏡支架】可直接連接Mio行車記錄器主機 後支 適用 6/C/7/8系列,【Sampo 聲寶】陶瓷式定時電暖器(HxFh12P),0,11360237,import
【COSME DECORTE 黛珂】超微導全能亮眼精粹20mL,【Unisync】3.5Mm轉Usb2.0汽車專用Aux音源轉接器,0,DDAD0R-A900G6RL4,momo
Yunmi 莫蘭迪全罩式機車雨衣 一件式斗篷連身雨衣 披風雨衣 機車雨衣 4Xl單人雨披天空藍,【Yunmi】莫蘭迪全罩式機車雨衣 一件式斗篷連身雨披 披風雨衣 騎車雨衣(單人雨衣 雙人雨衣),1,9829031,import
【Msi 微星】Geforce Rtx 3070Ti Ventus 3X 8G Oc 顯示卡,【Msi 微星】Geforce Rtx 4070 Ventus 3X 12G 顯示卡,0,DRAD1R-A900EQJAO,import
Lightning 轉3.5Mm 一分二音樂/充電分接線,【Arum】Apple 蘋果 Lightning轉3.5Mm 充電耳機聽歌轉接線(音源轉接頭Iphone Xs Max Xr X 12 Pro),1,8514762,import
【Sunnylife】DJI OSMO ACTION 4 專屬全能套裝包 減震防刮(再送鋼化膜套裝組),ACTION EX 12X50CF雙筒望遠鏡(台灣總代理公司貨保固),0,DGADJV-A900H40UX,momo
【AUKEY】Aukey Essential 20000mAh PB-Y37 65W PD快充 行動電源(充電實力派 隨心所充),ACTION EX 12X50CF雙筒望遠鏡(台灣總代理公司貨保固),0,DYBA6E-A900BMPKW,momo
【伊麗莎白雅頓】官方直營 八小時輕感平衡油100mlElizabeth Arden(臉部/身體/髮絲),八小時輕感平衡油 100ml,1,DDAD08-A900HSTLP,momo
【Panasonic 國際牌】366公升一級能效雙門變頻冰箱-晶鈦銀(NR-B371TV-S1),Philips飛利浦 10000Mah行動電源 Dlp1811/96,0,DPAC1T-A900FLZQU,momo
Adata 威剛 P20000Qcd Pd/Qc快充行動電源 (白),Philips飛利浦 10000Mah行動電源 Dlp1811/96,0,8437389,import
【Asus 華碩】DualRtx3060TiO8Gd6XWhite 顯示卡,【Asus 華碩】Ph Geforce Rtx306012GV2 顯示卡,0,DRADKY-A900FX2SH,import
Lightning Iphone 轉 雙Lightning一分二轉接線 二合一充電音源線轉接頭2入,【Arum】Apple 蘋果 Lightning轉3.5Mm 充電耳機聽歌轉接線(音源轉接線 轉接頭 Iphone Xs Max Xr X Plus),1,6682364,import
【Panasonic 國際牌】650公升能源效率一級變頻雙門冰箱(NR-B651TV-K),Philips 飛利浦Pd 10000Mah行動電源 Dlp1815/96,0,DPACHE-A900FXF8K,momo
BravoU 3.5Mm轉Usb Aux汽車專用音頻轉接線,BravoU 3.5Mm轉Usb Aux汽車專用音頻轉接線,0,2524780,import
ブラボーユー 3.5Mm轉Usb(母)汽車Aux專用音頻轉接線,Philips 飛利浦Pd 10000Mah行動電源 Dlp1815/96,0,9306121,import
【CHANEL 香奈兒】香奈兒時尚玉手霜 50ml(輕盈版/豐潤版.國際航空版),無限肌緻極璨甦活精華露160ml / 精華乳120ml - 任選一款 (正統公司貨),0,DDAD9W-A900HSA86,momo
【植村秀】官方直營 全能奇蹟金萃乳液75ml(Shu uemura),全能奇蹟金萃乳液 75ML,1,DDAD0Y-A900HACHT,momo
Hang 65000型 Pd5液晶顯示Pd+Qc 20W雙向快充行動電源,【Hang】65000型 Pd5液晶顯示Pd+Qc 20W雙向快充行動電源,1,10063711,import
【Kingston 金士頓】XS1000 2TB Type-C USB 3.2 Gen 2 外接式ssd固態硬碟 黑(SXS1000/2000G),Philips飛利浦 10000Mah行動電源 Dlp1811/96,0,DRAAE2-A900HIAG8,momo
【MSI 微星】▲特仕版 16吋Ultra 9電競(Pulse 16 AI C1VFKG-015TW/Ultra 9 185H/16G/1T SSD/RTX4060/W11),Philips飛利浦 10000Mah行動電源 Dlp1811/96,0,DHAKAZ-1900HV8JB,momo
【philosophy 肌膚哲理】純淨清爽3合1洗面乳240ml,純淨清爽3合1洗面乳 240ml,1,DDADKO-A900HQ5S1,momo
ブラボ一ユ一3.5Mm轉Usb(母)汽車Aux專用音頻轉接線,【Unisync】3.5Mm轉Usb2.0汽車專用Aux音源轉接器,0,7728331,import
【美國Qgeem】TypeC九合一Pd/Usb/Hdmi/3.5Mm/Rj45多功能轉接器,【美國Qgeem】TypeC九合一Pd/Usb/Hdmi/3.5Mm/Rj45多功能轉接器,0,DCADJ5-A900B1VYD,import
BravoU 3.5Mm轉Usb Aux汽車專用音頻轉接線,【Unisync】3.5Mm轉Usb2.0汽車專用Aux音源轉接器,1,9162939,import
【Panasonic 國際牌】650公升新一級能效智慧節能雙門變頻冰箱-晶漾黑(NR-B651TV-K),Philips 飛利浦Pd 10000Mah行動電源 Dlp1815/96,0,DPACHE-A900FXF8K,momo
【Msi 微星】Geforce Rtx 4070 Gaming X Trio 12G 顯示卡,【Msi 微星】Geforce Rtx 4070 Ti Gaming X Trio 12G 顯示卡,0,DRADLA-A900G7Y24,import
【KOSE 高絲】雪肌精 舒芙蕾精華乳 140ml,雪肌精舒芙蕾精華乳140ml (正統公司貨),1,DDAD0D-A900BOAZ2,momo
【Msi 微星】Geforce Rtx 3060 Ti Super 3X 8Gd6X Oc 顯示卡,微星Msi Rtx 3060 Ti 8G Super 3X 8Gd6X Oc 顯示卡,0,DRADLA-A900G9AFC,import
【SONY 索尼】Xperia 1 VI 5G 6.5吋(12G/256G/高通驍龍8 Gen3/4800萬鏡頭畫素),Xperia 1 VI (12G/512G),0,DYAW9T-A900HGXDU,momo
【皇覺】紅寶石蔓越莓牛軋雪Q餅3盒,Philips 飛利浦Pd 10000Mah行動電源 Dlp1815/96,0,DBACFN-A900FG2B3,import
【Flashfire】Switch 副廠 第三代藍芽影音加強版 底座支架 鋼鐵紅Gs2500(支援Switch及Switch Oled主機),Switch鋼鐵藍芽底座 Hdmi輸出 大瑩幕轉出 Ns支架 Tv轉接器 台灣公司貨,1,DGBJC0-A900AMRJT,import
【Nintendo 任天堂】NS 瑪利歐vs咚奇剛 中文版(台灣公司貨),【Nintendo 任天堂】Ns Switch Dobe 多角度摺疊充電底座(Switch專用),0,DGBJBH-A900H7BQE,momo
【CLINIQUE 倩碧】深層活化修護護唇霜4g(皮膚科醫生研發 頂級唇部護理),無限肌緻極璨甦活精華乳45ml+雪肌精無限肌緻極璨甦活精華露45ml,0,DDAD2Y-A900HPFH6,momo
加利王Wuw Iphone Lightning 轉接 3.5Mm Aux音源線 音頻傳輸線(R152)1M,Lightning轉3.5Mm 公 Aux 音源轉接線 音源線 耳機轉接器(Apple Iphone 11 Pro Xs Max Xr 8 7 Plus),1,7620278,import
【Nintendo 任天堂】NS Switch Sports 運動 中文版(台灣公司貨),NS Switch 超級瑪利歐兄弟 驚奇 中文版,0,DGBJBH-A900FMXNA,momo
倍潔雅抽取式衛生紙150抽X10包X8串/箱,【倍潔雅】柔拭萬用紙巾(120抽80包/箱),1,10874262,import
【Asus 華碩】Ph Geforce Rtx306012GV2 顯示卡,Asus 華碩 Phoenix Geforce Rtx™ 3060 V2 12Gb 顯示卡,1,DRAD1N-A900BPJAN,import
【Jurlique 茱莉蔻】藥蜀葵舒敏卸妝乳200ml(專櫃公司貨),Philips飛利浦 10000Mah行動電源 Dlp1811/96,0,DDAD8P-A900BNG6P,momo
【SONY 索尼】可攜式劇院系統(HT-AX7),無限肌緻極璨甦活精華露160ml / 精華乳120ml - 任選一款 (正統公司貨),0,DCAIDH-A900GK5FW,momo
【Asus 華碩】TufRtx4070O12GGaming 顯示卡,【Asus 華碩】TufRtx4070O12GGaming 顯示卡,0,DRADKY-A900G8CNE,import
【Panasonic 國際牌】325公升一級能效玻璃門雙門變頻冰箱-鏡面鑽石黑(NR-B331VG-X1),Philips飛利浦 10000Mah行動電源 Dlp1811/96,0,DPAC1T-A900GEMPP,momo
【皇覺】巧克力可可牛軋雪Q餅1盒,皇覺 巧克力可可牛軋雪Q餅1盒,1,DBACFN-A900FG10P,import
【ASUS 華碩】15.6吋8G輕薄文書筆電(E510KA/N4500/8G/128G/W11S),Philips飛利浦 10000Mah行動電源 Dlp1811/96,0,DHAFM1-1900HIG2V,momo
Tapo C220 2.5K QHD 400萬 WiFi監視器 不含記憶卡(可旋轉攝影機 AI家庭防護 雙向語音 夜視9公尺 台灣代理商公司貨),【Unisync】3.5Mm轉Usb2.0汽車專用Aux音源轉接器,0,DCBE1X-A900GKVCM,momo
Bone / 車用擴香台 Car Diffuser  米奇,加利王Wuw TypeC To 3.5Mm / UsbC轉3.5Mm 音頻轉接線(X106),0,6322747,import
【Msi 微星】Geforce Rtx 3070Ti Ventus 3X 8G Oc 顯示卡,【Msi 微星】Geforce Rtx 4070 Ventus 3X 12G Oc 顯示卡,0,DRADIV-A900BMX9X,import
【G-PLUS 拓勤】F1+ 三防資安4G直立式手機Type-C,Philips 飛利浦Pd 10000Mah行動電源 Dlp1815/96,0,DMBM0Y-A900HCN2E,momo
【HR 赫蓮娜】官方直營 植萃綠寶修護精華50ML(綠寶瓶/痘痘修護),GAMING GeForce RTX 4080 SUPER Trinity Black 16GB 顯示卡,0,DDADN3-A900HAUUT,momo
Hagibis海備思TypeC轉Pd/Uhd/Usb3.0/Sd/Tf/3.5Mm六合一轉接器,Hagibis海備思TypeC轉Pd/Uhd/Usb3.0/Sd/Tf/3.5Mm六合一轉接器,0,11140447,import
【SHISEIDO 資生堂東京櫃】美白護手霜100g*3入(公司貨),Philips 飛利浦Pd 10000Mah行動電源 Dlp1815/96,0,DDAD73-A900GSR6M,momo
【DARPHIN 朵法】全效舒緩精華75ml(小粉紅),無限肌緻極璨甦活精華露160ml / 精華乳120ml - 任選一款 (正統公司貨),0,DDCV36-A900HQFOQ,momo
舒耳 Shure MoveMic Two Receiver kit 一對二 無線 麥克風(專業版本 無線收音 藍牙配對 採訪),ACTION EX 12X50CF雙筒望遠鏡(台灣總代理公司貨保固),0,DGAFA2-A900HB7UV,momo
【Arden 雅頓】21天霜 75ml(國際航空版),GAMING GeForce RTX 4080 SUPER Trinity Black 16GB 顯示卡,0,DDAD08-A900FMCQQ,momo
【philosophy 肌膚哲理】純淨清爽3合1洗面乳472ml,純淨清爽3合1洗面乳472ml,1,DDADKO-A900BFOUG,momo
【Paul】經典可娜麗禮盒(9入),【Unisync】3.5Mm轉Usb2.0汽車專用Aux音源轉接器,0,4668729,import
【GIGABYTE 技嘉】G5 MF5-52TW383SH-SP5 15.6吋 黑 特仕筆電(i5-13500H/32G DDR5/512G PCIE+1TB SSD/RTX4050 6G/W11),NitroV 15.6吋 電競筆電 ANV15-51-53QM 黑(i5-13420H/16G+32G/512G+1T SSD/RTX2050/W11/165Hz)特仕,0,DHABCI-A900GX6OG,momo
【ASUS 華碩】N6506MV-0022G185H 15.6吋特仕筆電（Ultra9-185H/8G+16G/1T+2T/RTX4060/W11）,VivoBook Pro N6506MV-0022G185H AI筆電(Ultra 9/8G+32G/1TB+2TB SSD/RTX4060 8G/Win11/15.6)特仕,1,DHABFU-A900H99D9,momo
【KOSE 高絲】雪肌精 漾活淨鹽卸粧油 170mL,Philips飛利浦 10000Mah行動電源 Dlp1811/96,0,DDAD0D-A900GRDLG,momo
良值 Nintendo Switch 迷你便攜 Tv畫面轉接器(公司貨) 取代原廠底座 L332,良值 Nintendo Switch Joycon 4In1充電底座(公司貨) L372,0,8105860,import
【Kiehl’s 契爾氏】亞馬遜白泥淨緻毛孔洗面乳 150ml(平行輸入版/溫和清潔洗面乳),無限肌緻極璨甦活精華露160ml / 精華乳120ml - 任選一款 (正統公司貨),0,DDAD8M-A900BWUIW,momo
【Msi 微星】Rtx 4070 12G Gaming X Trio 顯示卡,微星 Geforce Rtx 4070 Gaming X Trio 12G 顯示卡,1,DRADLA-A900G7Y24,import
【CLARINS 克蘭詩】超性感美頸霜 彈力升級版75ml,超性感美頸霜 75ml,1,DDAD0B-A900FV3JH,momo
【Microsoft 微軟】XBOX 原廠無線控制器 手把 PC手把 Xbox Series S X PC 適用(叢林風暴),白蘭氏 冰糖燕窩70G (6入) X 3盒,0,DGBJAH-A900HE38B,momo
倍潔雅 純萃柔感抽取式衛生紙(150抽X12包X5袋/箱),Philips 飛利浦Pd 10000Mah行動電源 Dlp1815/96,0,10294967,import
【Crucial 美光】X10 Pro 2TB Type-C USB 3.2 Gen 2x2 外接式ssd固態硬碟(CT2000X10PROSSD9),【南紡購物中心】   Crucial X10 Pro 2TB U3.2 Type C外接式SSD,1,DSBC7E-A900GKIS0,momo
【CLINIQUE 倩碧】天才激光超緊緻活膚霜15ml,Philips飛利浦 10000Mah行動電源 Dlp1811/96,0,DDAD2Y-A900HIO9V,momo
【Sisley 希思黎】官方直營 黑玫瑰彈潤水凝霜50ml(一抹爆水/買就送黑玫瑰3步驟),黑玫瑰彈潤水凝霜 50ml,1,DDAHLZ-A900FCYVH,momo
【TP-Link】單入組-Deco BE65 WiFi 7 BE11000 三頻2.5Gbps 真Mesh 無線網路網狀路由器(Wi-Fi 7分享器/VPN),Lightning轉3.5Mm 公 Aux 音源轉接線 音源線 耳機轉接器(Apple Iphone 11 Pro Xs Max Xr 8 7 Plus),0,DRAN08-A900H8512,momo
【廣生堂】原珍冰糖燕窩飲60Ml(6入禮盒組),Philips 飛利浦Pd 10000Mah行動電源 Dlp1815/96,0,DBAXD2-A900EYDN0,import
【Sharp 夏普】30L Healsio水波爐/白(AxXp10TW),Philips 飛利浦Pd 10000Mah行動電源 Dlp1815/96,0,DMBJ7E-A900F7VDF,import
【Papago!】Waygo 770 7吋智慧型區間測速衛星導航機(S1圖像化導航介面/測速語音提醒),【Papago!】Waygo 770 7吋智慧型區間測速衛星導航機(S1圖像化導航介面/測速語音提醒),1,DEBB01-A900EX8QH,import
【日本品牌XP-PEN】Star G430S 4X3吋超輕薄繪圖板,【Unisync】3.5Mm轉Usb2.0汽車專用Aux音源轉接器,0,DCAV3I-A9009EEGZ,momo
【Final】VR2000 for Gaming 電競入耳式耳機,Flashfire Gaming Supply Bat Switch 轉接充電底座,0,DCAYKO-A900GNTYW,momo
【Logitech G】G903 無線 專業級電競滑鼠(滑鼠鼠王),G903 LIGHTSPEED 無線電競滑鼠,1,QABF0Z-A900AL4N0,momo
【SONY 索尼】FE 16-35mm F2.8 GM II 超廣角變焦鏡頭 SEL1635GM2(公司貨 二年保固),Philips飛利浦 10000Mah行動電源 Dlp1811/96,0,DGBS2L-A900GNKEF,momo
【Antian】便攜式咖啡磨豆機 電動咖啡研磨器 小型豆漿機 磨粉機 方形咖啡機,【Lasko】黑麥克二代4D熱波循環暖氣流多功能陶瓷電暖器(Cc23161Tw),0,DMAT13-A900F6W4F,import
【Hagibis海備思】TypeC轉Pd/Uhd/Usb3.0/Sd/Tf/3.5Mm六合一轉接器,Hagibis海備思TypeC4合1擴充器Usb3.0+Hdmi+Pd供電+3.5Mm音源,1,DCAC1S-A900A1TT6,import
【LA MER 海洋拉娜】濃萃修復眼霜 15ml(平輸航空版),GAMING GeForce RTX 4080 SUPER Trinity Black 16GB 顯示卡,0,DDADEF-A900BZL5C,momo
【Final】VR3000 for Gaming 電競入耳式耳機,Razer Kitsune - All-Button Optical Arcade Controller for PS5 and PC,0,DCAYKO-A900B0Z57,momo
【Gigabyte 技嘉】Geforce Rtx 4070 Gaming Oc 12G顯示卡,技嘉 Geforce Rtx 4070 Gaming Oc 12G 顯示卡,1,DRADL2-A900G829W,import
【HR 赫蓮娜】官方直營 植萃綠寶修護精華30ML(綠寶瓶/痘痘修護),GAMING GeForce RTX 4080 SUPER Trinity Black 16GB 顯示卡,0,DDADN3-A900HRFZ9,momo
【BOSCH 博世】12人份獨立式洗碗機(SMS2ITI06X),Philips 飛利浦Pd 10000Mah行動電源 Dlp1815/96,0,DMBM1K-A900FR43J,momo
【Panasonic 國際牌】167公升一級能效雙門變頻冰箱-晶鈦銀(NR-B171TV-S1),GAMING GeForce RTX 4080 SUPER Trinity Black 16GB 顯示卡,0,DPAC1T-A900GQ6AD,momo
倍潔雅 抽取式衛生紙(100抽14包6袋/箱),【倍潔雅】柔軟舒適抽取式衛生紙(150抽56包/箱),1,6780067,import
【日本Songen】松井Ptc陶瓷發熱小型輕便電暖器/暖氣機(Sg110Fh(R)),Philips飛利浦 10000Mah行動電源 Dlp1811/96,0,10642992,import
【Msi 微星】Geforce Rtx 4060 Ti Gaming X Trio 顯示卡,【Msi 微星】Geforce Rtx 4070 Ti Gaming X Trio 12G 顯示卡,0,DRADLA-A900GDHC3,import
【ASUS 華碩】N6506MV-0022G185H 15.6吋特仕筆電（Ultra9-185H/8G+16G/1T+2T/RTX4060/W11）,無限肌緻極璨甦活精華乳45ml+雪肌精無限肌緻極璨甦活精華露45ml,0,DHABFU-A900H99D9,momo
【CHANEL 香奈兒】3.5-DA 醇萃緊緻亮眼霜 15g(平行輸入),【Unisync】3.5Mm轉Usb2.0汽車專用Aux音源轉接器,0,DDAD9W-A900HJOW6,momo
【伊麗莎白雅頓】官方直營 水漾清新保濕凝膠 75mlElizabeth Arden(保濕/乳液/乳霜),Philips 飛利浦Pd 10000Mah行動電源 Dlp1815/96,0,DDAD08-A900GPC05,momo
【Panasonic 國際牌】366公升 一級能效智慧節能右開雙門冰箱-晶鈦銀(NR-B371TV-S1),無限肌緻極璨甦活精華乳45ml+雪肌精無限肌緻極璨甦活精華露45ml,0,DPAC1T-A900FLZQU,momo
【CLINIQUE 倩碧】全效眼霜15ml(黑眼圈與浮腫剋星),全效眼霜15ml (正統公司貨),1,DDAD2Y-A900F6L3Y,momo
Adata 威剛 P20000Qcd Pd/Qc快充行動電源 (白),【Adata 威剛】P20000Qcd 20000Mah 18W 3孔輸出 Pd/Qc 大容量 快充行動電源(電量數位顯示),1,8437389,import
【Panasonic 國際牌】450公升新一級能源效率三門變頻冰箱-香檳金(NR-C454HV-N1),Philips飛利浦 10000Mah行動電源 Dlp1811/96,0,DPAC1T-A900GQ6M1,momo
【Rainbow彩虹全球3C】Rainbow轉接線 Iphone 轉 3.5Mm音源+Lightning充電 音源轉接線,蘋果 3.5Mm 轉 Lightning 轉接線(Apple耳機 Iphone 轉接線 轉接可同時充電 聽歌通話 音頻轉接器),0,6682364,import
【美國Qgeem】TypeC九合一Pd/Usb/Hdmi/3.5Mm/Vga多功能轉接器,【美國Qgeem】TypeC九合一Pd/Usb/Hdmi/3.5Mm/Rj45多功能轉接器,1,8369752,import
【Panasonic 國際牌】422公升新一級能效智慧節能雙門變頻冰箱-晶漾黑(NR-B421TV-K),【Unisync】3.5Mm轉Usb2.0汽車專用Aux音源轉接器,0,DPAC1T-A900ESZAB,momo
【Arden 雅頓】綠茶身體乳500ml(平行輸入),無限肌緻極璨甦活精華露160ml / 精華乳120ml - 任選一款 (正統公司貨),0,DDAD08-A900C8PXU,momo
【WHOO 后】拱辰享陰陽調和洗顏乳 180ML（專櫃公司貨）,Philips 飛利浦Pd 10000Mah行動電源 Dlp1815/96,0,DDADGV-A9007H47M,momo
Sampo聲寶 浴室/臥房兩用抑菌電暖器 HxFk10R,Philips飛利浦 10000Mah行動電源 Dlp1811/96,0,9458822,import
【AUKEY】Aukey Essential 20000mAh PB-Y37 65W PD快充 行動電源(充電實力派 隨心所充),C20 20000mAh Type-C雙向快充 行動電源,0,DYBA6E-A900BMPKW,momo
【L’Occitane歐舒丹】官方直營 白薰衣草美體乳/身體乳250ml(身體保養),Philips飛利浦 10000Mah行動電源 Dlp1811/96,0,DDADPS-A900HQTS4,momo
【Logitech G】G102 炫彩遊戲有線滑鼠(黑),G102 第二代 RGB 炫彩遊戲滑鼠 黑,1,DCBE2G-A900BIFE8,momo
Sampo聲寶陶瓷式定時電暖器 HxFh12P,Philips 飛利浦Pd 10000Mah行動電源 Dlp1815/96,0,9455512,import
【BOSE】QuietComfort Ultra 消噪耳塞+矽膠保護套 霧白色(限定超值組合),QuietComfort Ultra消噪耳塞 白色,1,DGCT19-A900GP8MQ,momo
【Acer 宏碁】全新拆封品★16吋14代i5 RTX4060電競筆電(Predator/PHN16-72-5984/i5-14500HX/16G/512G/W11),無限肌緻極璨甦活精華乳45ml+雪肌精無限肌緻極璨甦活精華露45ml,0,DHABBA-A900HWBMW,momo
【YSL】官方直營 極效活萃仙人掌眼部精華乳 20ml,極效活萃仙人掌眼部精華乳 20ML TESTER (環保盒),1,DDADDA-A900HSKE9,momo
【EVE LOM】全能深層潔淨霜 200ml(內附2條瑪姿林布 卸妝膏 平行輸入),【Unisync】3.5Mm轉Usb2.0汽車專用Aux音源轉接器,0,DDADG0-A900HMB5A,momo
【Shu uemura 植村秀】櫻花萃釀淨透潔顏油 50ML x 2〈保存期限至2025/04.專櫃公司貨〉,Philips 飛利浦Pd 10000Mah行動電源 Dlp1815/96,0,DDBH2F-A900GZAKY,momo
【Rainbow彩虹全球3C 】Rainbow轉接線 Iphone 轉 Lightning音源+Lightning充電 音源轉接線,【Arum】Apple 蘋果 Lightning轉3.5Mm 充電耳機聽歌轉接線(音源轉接頭Iphone Xs Max Xr X 12 Pro),1,8514762,import
【Kiehl’s 契爾氏】激光極淨白淡斑精華 115ml 2入加大升級組(國際航空版),GAMING GeForce RTX 4080 SUPER Trinity Black 16GB 顯示卡,0,DDADHO-1900HSYB4,momo
【Sharp 夏普】30L Healsio炙燒水波爐(AxXp10T 兩色可選),Philips飛利浦 10000Mah行動電源 Dlp1811/96,0,DMBM0G-A900G4MJC,import
【ag】TWS04K 真無線藍耳機(日本final監製調音),無限肌緻極璨甦活精華露160ml / 精華乳120ml - 任選一款 (正統公司貨),0,DCAYY3-A900EPCUC,momo
【G-PLUS 拓勤】F1+ 4G 三防資安/部隊機(第二代TYPE-C充電輸入),ACTION EX 12X50CF雙筒望遠鏡(台灣總代理公司貨保固),0,DMBM0Y-A900HCN2E,momo
【AITC 艾格】KINGSMAN KP800_2TB NVMe M.2 2280 PCIe Gen 4x4 SSD 固態硬碟(讀：7500M/寫：6500M),【Unisync】3.5Mm轉Usb2.0汽車專用Aux音源轉接器,0,DRAHI0-A900GI09H,momo
【Logitech 羅技】MX Master 3S 無線藍牙智能滑鼠(珍珠白),MX Master 3s 無線滑鼠-珍珠白,1,DSAR0S-A900F7PD1,momo
Pg9187 收納充電底座 副廠 支援Switch,Pg9187 收納充電底座 副廠 支援Switch,0,9467582,import
【SONY 索尼】PS5 DualSense 無線控制器 《經典白》(原廠台灣公司貨),SONY PS5原廠 DualSense 無線控制器-CFI-ZCT1G (白色),1,DGBJGB-A900GFD4D,momo
【Canon】PIXMA MG3670 多功能相片複合機-黑色(列印/掃描/影印),PIXMA MG3670 多功能相片複合機 [經典黑]+PG-740XL+CL-741XL墨水組(1黑1彩),0,DCAE06-A900GID0W,momo
【KOIZUMI】暴風級雙渦輪負離子吹風機-特仕版(KHD-G903-AE),無限肌緻極璨甦活精華乳45ml+雪肌精無限肌緻極璨甦活精華露45ml,0,DMAHBJ-A900GDS8J,momo
【Logitech 羅技】MX Keys Mini無線鍵盤,【南紡購物中心】   MX KEYS Mini 無線藍芽背光鍵盤《簡約白》,1,DSBC1R-A900GREAV,momo
【美國Qgeem】TypeC九合一Pd/Usb/Hdmi/3.5Mm/Vga多功能轉接器,【Mill 米爾】冷暖兩用 隨身型陶瓷電暖器 暖氣機(Cus1100Mecwa),0,DCADJ5-A900B1VYO,import
【美國Qgeem】TypeC八合一Pd/Usb/Hdmi/3.5Mm/Rj45/Sd/Tf轉接器,【美國Qgeem】TypeC八合一Pd/Usb/Hdmi/3.5Mm/Rj45/Sd/Tf轉接器,0,8325970,import
水凝膜 適用 華為 Huawei Watch GT 4 41MM 46MM 保護貼 全透明 超薄 TPU 軟膜(保護貼 軟膜 全透明),【Sampo 聲寶】陶瓷式定時電暖器(HxFh12P),0,DYAK5N-A900HHT9M,momo
【Asus 華碩】Ph Geforce Rtx306012GV2 顯示卡,【Asus 華碩】TufRtx4070Ti12GGaming 顯示卡,0,DRAD1N-A900FCOR3,import
【HR 赫蓮娜】官方直營 白繃帶修護乳霜15ml(專櫃抗老推薦),GAMING GeForce RTX 4080 SUPER Trinity Black 16GB 顯示卡,0,DDADN3-A900HB0P9,momo
【Acer 宏碁】特仕版 15.6吋電競筆電(Nitro V/ANV15-51-53QM/i5-13420H/16G+16G/512G SSD/RTX2050),Philips飛利浦 10000Mah行動電源 Dlp1811/96,0,DHABB9-A900HXALF,momo
【Microsoft 微軟】XBOX 原廠無線控制器 手把 PC手把 Xbox Series S/X PC 適用(湛藍領域),【Unisync】3.5Mm轉Usb2.0汽車專用Aux音源轉接器,0,DGBJAH-A900HTBJ9,momo
【Roommi】40W太陽能充電板(太陽能發電 太陽能板),無限肌緻極璨甦活精華乳45ml+雪肌精無限肌緻極璨甦活精華露45ml,0,DYAO0N-A900EOPTM,momo
【Hp 惠普】Inktank 115 噴墨相片連供印表機(列印),【Hp 惠普】搭1組1黑3彩墨水★Inktank 115 噴墨相片連供印表機(列印),0,DCAE30-A900F02LY,import
【Rainbow彩虹全球3C】 Iphone 轉 3.5Mm音源線 Iphone音源轉接線,加利王Wuw Iphone Lightning 轉接 3.5Mm Aux音源線 音頻傳輸線(R152)1M,0,10636574,import
【皇覺】紅寶石蔓越莓牛軋雪Q餅1盒,【Unisync】3.5Mm轉Usb2.0汽車專用Aux音源轉接器,0,DBDA01-A900FGFLO,import
【寶拉珍選】10%果酸身體乳210ml+5%B3勻亮身體精華乳118ml,10%果酸身體乳 210ml +抗老化緊緻A醇身體乳118ml,1,DDDE03-1900FZ153,momo
【GEORGIA 喬亞】拿鐵咖啡寶特瓶350ml x4入/組,【 喬亞】拿鐵咖啡寶特瓶350ml (4入X2組),1,DBABE9-1900B4HK5,momo
【SONY 索尼】Xperia 1 VI 5G 6.5吋(12G/512G/高通驍龍8 Gen3/4800萬鏡頭畫素),Philips飛利浦 10000Mah行動電源 Dlp1811/96,0,DYAW9T-A900HGZTR,momo
【Institut Karite Paris 乳油木】巴黎乳油木 頂級草本薰衣草花園保濕馬賽液體皂(500ml),Philips飛利浦 10000Mah行動電源 Dlp1811/96,0,DDCC1N-A900HKZIM,momo
即期品【LA MER 海洋拉娜】經典乳霜 100ML〈保存期限至2025/06.專櫃公司貨〉,無限肌緻極璨甦活精華乳45ml+雪肌精無限肌緻極璨甦活精華露45ml,0,DDADP7-A900HVBOT,momo
【KOSE 高絲】無限肌緻植淬整肌精華油40ml(專櫃公司貨),GAMING GeForce RTX 4080 SUPER Trinity Black 16GB 顯示卡,0,DDAD0D-A900BTLSJ,momo
【Nintendo 任天堂】NS Switch 我的舞蹈教室(中文版 台灣公司貨),【Nintendo 任天堂】Ns Switch Dobe 多角度摺疊充電底座(Switch專用),0,DGBJCW-A900HJQV5,momo
正負零±0陶瓷電暖器XhhY030(紅),Philips 飛利浦Pd 10000Mah行動電源 Dlp1815/96,0,6315245,import
【HR 赫蓮娜】官方直營 植萃綠寶修護精華30ML(綠寶瓶/痘痘修護),【Unisync】3.5Mm轉Usb2.0汽車專用Aux音源轉接器,0,DDADN3-A900HRFZ9,momo
【Guerlain 嬌蘭】深夜活膚乳霜15ml-熬夜霜(專櫃公司貨),GAMING GeForce RTX 4080 SUPER Trinity Black 16GB 顯示卡,0,DDAD45-A900HCL41,momo
【ORIGINS 品木宣言】泥娃娃活性碳奇亞籽面膜 75ml,Philips 飛利浦Pd 10000Mah行動電源 Dlp1815/96,0,DDAD0A-A900H033U,momo
